Latitude-longitude information,Name 
-25.754502 -53.060006,Escritorio Aguiar - Contabilidade Contador Assessoria Contábil Perícias R H Const de Empresas
-25.7527657 -53.0567038,Panificadora Antonello
-25.7475699 -53.0696636,Bolosdawilma
-25.752684 -53.0634957,Bar do Ivo
-25.7522076 -53.0636557,Salão Sempre Bella - Dete
-25.7549165 -53.06087160000001,Salao e Estetica Feminina
-25.7483722 -53.05731180000001,Oma Lone Café
-25.7505232 -53.05893649999999,Concessionária Ford Suvel Dois Vizinhos
-25.7495249 -53.061417,Centralcar Multimarcas
-25.754989 -53.057309,Placas Iguaçu
-25.752155 -53.0633373,Route Garage
-25.750895 -53.0643621,Joel Consorcio
-25.7549612 -53.05955580000001,Divel-Distr.De Veics.Ltda
-25.7549575 -53.0599929,Meu Carro Usado
-25.7555731 -53.059729,Zanvel Zanella Veículos Ltda
-25.75172509999999 -53.0678897,CONSORCIOS ALVES
-25.756702 -53.0605618,sifamaq - mangueiras correias peças ferramentas
-25.7586809 -53.0606646,Mecânica Defaveri
-25.7511954 -53.0574387,Full Car
-25.7576322 -53.0579915,Lava Car Limpax
-25.754806 -53.0657854,Lava car do Gordo
-25.7521618 -53.0623474,Igreja SÓ O SENHOR É DEUS
-25.755591 -53.0577619,Prefeitura Municipal de Dois Vizinhos
-25.7475457 -53.0598731,Câmara Municipal de Dois Vizinhos
-25.7487781 -53.0615116,Tribunal Regional Eleitoral do Paraná
-25.7482068 -53.056831,Clinica Dentaria Odontosol Vip
-25.7485917 -53.0568807,Maviclin Instituto do Sorriso
-25.75012 -53.056438,Dra Eloisa Caldato Odontologia
-25.7481751 -53.05657339999999,Farmácia Coperfarma
-25.75942629999999 -53.0599301,Farmácia São João do Sul
-25.75022419999999 -53.0571658,Vivian Sbrussi & Cia
-25.7502798 -53.0571364,Farmácia Farmasul
-25.7507251 -53.0582104,Casagrande & Silveira
-25.7577263 -53.05779030000001,Eletro Vizi
-25.7531488 -53.0600244,Maquininha Informática
-25.7581908 -53.0612309,Floricultura Nativa Garden
-25.7511491 -53.05988109999999,Decora planejados móveis e decoração
-25.75843699999999 -53.05906599999999,(MOVEIS SUL)M Sul Móveis
-25.7553915 -53.0655917,ROSE LIDER TUPPERWARE
-25.7513631 -53.0608505,Posto Shell - Auto Posto Novo Milenio Ltda
-25.7595469 -53.05887559999999,Posto Ipiranga
-25.74853 -53.06739,Posto Petrobras
-25.75784969999999 -53.05662230000001,Auto Posto Delta
-25.759583 -53.0589055,Posto Do Bianco
-25.7564389 -53.06251570000001,Espaço Fitness Fran Dalmagro Fit
-25.7510819 -53.0601973,Brother's Barbearia Sul
-25.75325909999999 -53.06213100000001,Barbearia Scorpion
-25.75189529999999 -53.0606061,POLOBRAS
-25.748602 -53.05661809999999,Emergência Unidade Central de Saúde
-25.7489549 -53.05677619999999,Unidade Central de Saúde
-25.7535072 -53.05796119999999,Sabadin odontologia Dr. Lucas Sabadin
-25.7572122 -53.0654204,UPA - Base Do SAMU Dois Vizinhos
-25.7500918 -53.0560991,Dilamar Corretora de Seguros
-25.7507144 -53.06068459999999,Romani & Dal Molin Advogados Associados
-25.7483075 -53.0577803,Secretaria Municipal Educação
-25.7476225 -53.0601516,Secretaria de Habitação e Junta Militar de Dois Vizinhos
-25.7534747 -53.0602729,Keychain King of the Keys
-25.75986529999999 -53.0586499,Chalitas Hotel
-25.7583312 -53.0612329,Petibom Pizzaria e Restaurante
-25.757126 -53.06451229999999,Viking Burger
-25.7484012 -53.05625079999999,Lanche Prensado Dogão Josias
-25.7509253 -53.0592266,Lanche Prensado Dogão José
-25.7539674 -53.06014189999999,Sorvetes E Lanches Cremoller
-25.7550194 -53.05983690000001,Nina Lanches
-25.7535958 -53.065042,Alfa Transportes Especiais - Dois Vizinhos
-25.759288 -53.0590883,Veterinária e Agropecuária Boaretto Ltda
-25.751466 -53.0615159,The Regional Civil Police
-25.7566811 -53.05918229999999,TRES Arquitetura e Urbanismo Arquiteto Cleberson Santos
-25.7579806 -53.05928369999999,Sudoeste Imóveis
-25.7578334 -53.05809989999999,IMOBILIARIA FOLHA VERDE
-25.7585524 -53.0568039,Imobiliária Gazzalle
-25.7479433 -53.0611237,ROSSETTO CORRETOR DE IMÓVEIS
-25.7546893 -53.05767119999999,Restaurante Sabor Caseiro
-25.7521542 -53.0579281,State School Leonardo da Vinci
-25.759239 -53.05892459999999,Loja Palmar
-25.7503535 -53.0577448,Supermercado Amigão
-25.7564934 -53.062115,Supermercado Siega
-25.7580958 -53.0570387,Ítalo Supermercado
-25.7471031 -53.06020499999999,Mercado e Lanchonete Vizilar
-25.752871 -53.060402,No Ponto Supermercados
-25.7542442 -53.0597253,J Favin and Company Ltd.
-25.7592463 -53.0594331,Disk taxi amil
-25.7475276 -53.0656101,Levatur Turismo
-25.7536634 -53.0579717,Mundo Animal
