Latitude-longitude information,Name 
12.5823876 -81.6900489,Garrido Gálvez & Management Group
12.5818433 -81.69052889999999,Cajero Ath Plaza Del Mar
12.581743 -81.689213,Banco Popular
12.580682 -81.68813209999999,Bar Lord Pierre
12.5822213 -81.690194,D'licious Lunch Time
12.582296 -81.691639,Chalas
12.5816487 -81.6914573,Iglesia La Mezquita
12.5817521 -81.6907813,Iglesia Cristo Salvador
12.5811803 -81.6879404,Funeral Chapels of Faith
12.5817191 -81.6882497,Joyeria Gerald's
12.5810366 -81.69128309999999,Secretary of Tourism
12.580776 -81.68974299999999,Hotel Arena Blanca
12.5802872 -81.69039149999999,COMIDA REGIONAL DE LA ISLA DE SAN ANDRES
12.580682 -81.68813209999999,RUOLIN
12.5817684 -81.6915478,Mezquita AnNur
12.5821183 -81.69115719999999,Mezquita An Nu
12.5803415 -81.6896172,Edificio Bay Point
12.5818937 -81.6904122,Renta Car Mil Delicias
12.581403 -81.691636,Helga's Place
12.5804819 -81.69163689999999,La Regatta
12.58175 -81.69202,Restaurante Típico
12.5815908 -81.69192040000001,Asociación de Guias Scouts de SAn Andrés
12.582312 -81.6900161,SHARKY DIVE SHOP
12.5804223 -81.68802869999999,Divers Dive Center team
12.580172 -81.6906704,Hotel El Lord
12.5818614 -81.69183280000001,Yogupop
12.5818172 -81.6889273,Minimarket Hansa VIP
12.582207 -81.6885424,Minimarket
12.5817692 -81.6903334,Agencia de Viajes Touring Investment
12.5802083 -81.6911769,Ocean blue tours
