Latitude-longitude information,Name 
12.5818433 -81.69052889999999,Cajero Ath Plaza Del Mar
12.581743 -81.689213,Cajero Automático Red Aval
12.5822213 -81.690194,D'licious Lunch Time
12.582296 -81.691639,Chalas
12.5817672 -81.6900993,La Grande Boutique
12.5818349 -81.6906364,Aparmentos Principal
12.5811803 -81.6879404,Funeral Chapels of Faith
12.5802872 -81.69039149999999,COMIDA REGIONAL DE LA ISLA DE SAN ANDRES
12.580682 -81.68813209999999,RUOLIN
12.5817684 -81.6915478,Mezquita AnNur
12.5821183 -81.69115719999999,Mezquita An Nu
12.5802 -81.689527,Edificio Bay Point Apartamento 403
12.5818937 -81.6904122,Renta Car Mil Delicias
12.5821214 -81.68884740000001,Hostal Luna Azul
12.5804819 -81.69163689999999,La Regatta
12.58175 -81.69202,Restaurante Típico
12.5815908 -81.69192040000001,Asociación de Guias Scouts de SAn Andrés
12.582312 -81.6900161,SHARKY DIVE SHOP
12.5804223 -81.68802869999999,Divers Dive Center team
12.5820914 -81.6906138,Del Mar Plaza SAS
12.5818172 -81.6889273,Minimarket Hansa VIP
12.582207 -81.6885424,Minimarket
12.5816553 -81.6905403,Expedition Receptivos
12.5817692 -81.6903334,Agencia de Viajes Touring Investment
