Latitude-longitude information,Name 
12.5823876 -81.6900489,Garrido Gálvez & Management Group
12.5818433 -81.69052889999999,Cajero Ath Plaza Del Mar
12.581743 -81.689213,Cajero Automático Red Aval
12.5822213 -81.690194,D'licious Lunch Time
12.5817799 -81.690658,Almacén Beach Boutique
12.5818349 -81.6906364,Aparmentos Principal
12.5811803 -81.6879404,Funeral Chapels of Faith
12.5817191 -81.6882497,Joyeria Gerald's
12.580776 -81.68974299999999,Hotel Arena Blanca
12.5807046 -81.68816509999999,Decameron Aquarium
12.580682 -81.68813209999999,RUOLIN
12.5817684 -81.6915478,Mezquita AnNur
12.5821183 -81.69115719999999,Mezquita An Nu
12.5821214 -81.68884740000001,Hostal Luna Azul
12.581403 -81.691636,Helga's Place
12.5804819 -81.69163689999999,La Regatta
12.5820417 -81.6920437,Di Yard Sanduchería
12.58175 -81.69202,Restaurante Típico
12.5813418 -81.69175729999999,Miss Celia Restaurante
12.5815908 -81.69192040000001,Asociación de Guias Scouts de SAn Andrés
12.5818172 -81.6889273,Minimarket Hansa VIP
12.582207 -81.6885424,Minimarket
